	x
(Intercept)	-1.48943034861441
V43898	0.266372610385376
V54144	0.183559670237341
V10046	0.175312918734632
V95228	0.154068168704531
V118500	0.142986261347125
V63103	0.142117513576984
V123681	0.0892492512739415
V161269	0.0849559023122655
V30179	0.083016632854128
V62163	0.0566114426209292
V13313	0.0469888489422135
V135858	-0.041915625865356
V211988	0.0327687589805155
V169066	0.019876729779958
V6794	0.0138817746518592
V110346	0.012808291145457
V11806	0.0114381407386474
V205630	0.00337971581665916
V14617	0.00326694145607778
V145301	3.54761497464329e-05
V194686	1.75335595759166e-05
V63104	2.14434159656577e-15
